Frage;Antwort
Nenne die beiden Formen des Arbeitsvertrages;"1. Dienstvertrag (§611 BGB); 2. Werkvertrag (§631 BGB) -> Erfolgsbasiert"
Der Arbeitgeber ist entweder eine .... oder eine .....;natürliche, juristische Person
Der Arbeitnehmer ist .... (nenne zwei Aspekte);"1. eine natürliche Persone; 2. vertraglich gebunden, unselbständig Arbeit zu leisten"
Wie kommt ein Arbeitsvertrag zustande?;"1. zwei übereinstimmende Willenserklärungen; 2. Muss NICHT schriftlich sein -> sofort gültig bei Abschluss; 3. Aber nach §2 NachwG kann Arbeitnehmer eine Niederschrift der Vertragsbedingungen einfordern (ab 1 Monat nach Vertragsbeginn). Der Arbeitnehmer kann nicht auf dieses Recht verzichten."
Bedarf ein normaler Arbeitsvertrag der Schriftform;nein
Ab wann ist ein Arbeitsvertrag gültig;sofort bei Abschluss
Wo steht, dass  der Arbeitnehmer eine Niederschrift seiner Arbeitsvertragsbedingungen einfordern kann?;§2 NachwG
Welche Vetragsarten gibt es?;"1. Befristeter Arbeitsvertrag; 2. Teilzeit-Vertrag; 3. (Arbeitnehmerüberlassung AÜG); 4. (Ausbildungsvertrag BBiG) "
Welche zwei Formen des befristeten Arbeitsvertrages gibt es?;"1. Befristung mit Sachgrund §14 Abs.1 TzBfG; 2. Befristung ohne Sachgrund (kalendermäßig befristet) "
Nenne die Besonderheiten des befristeten Arbeitsvertrages und wo findet man dazu etwas im Gesetz?;"1. §1 TzBfG; 2. Schriftformerfordernis §14 Abs.4 TzBfG; 3. Befristung soll gefördert werden; 4. Behandlung wie Vollzeitbeschäftigter; 5. Wenn Vertrag = befristet => keine Kündigung nötig"
Was lässt sich bezüglich der Vetragsdauer und der Häufigkeit beim befristeten Arbeitsverhältnis MIT Sachgrund sagen? (nenne auch Paragraph & ein Beispiel);1. Variable Länge & variable Häufigkeit (auf Deutsch scheißegal wie lang oder wie oft befristet wird) §14 Abs. 1 TzBfG (Bsp.: Ersatz für Angestellten in Schwangerschaftsurlaub, Projekttätigkeit)
Nenne die drei Hauptaspekte beim befristeten Arbeitsverhältnis OHNE Sachgrund. (auch Paragraph);"1. Befristung ist kalendermäßig; 2. Darf höchstens 3 Mal verlängert werden; 3. Maximal bis zu 2 Jahre insgesamt (§14 Abs.2 TzBfG)"
Welche Hauptpflicht und welches Recht hat der Arbeitgeber. Wo steht dies?;"1. Hauptrecht: Lohnzahlung; 2. Hauprecht: Direktionsrecht; 3. §611 BGB"
"Nenne die wichtigen Regelungen zum Thema ""Urlaub"" (nenne auch die jeweiligen Paragraphen)";"1. Anspruch auf min. 24 Werktage (wenn Sa frei => min. 20 Tage) = 4 Wochen (§3 Abs.1 BUrlG); 2. Der ges. Urlaub ist im Kalenderjahr zu nehmen (§7 BUrlG); 3. Der Urlaub kann ausgezahlt werden (§7 Abs. 4 BUrlG); 4. Bei Neuanstellung gilt eine Wartezeit von 6 Monaten (§4 BUrlG); 5. Teilurlaubsanspruch ergibt sich aus Umrechnung (1/12 von Gesamt * gearbeitete Monate) (§5 BUrlG); 6. Unabdingbarkeit (auch nicht vertraglich) (§13 BUrlG); 7. Bei Erkrankung werden Urlaubstage nicht auf Gesamturlaub angerechnet (Attest erforderlich) (§9 BUrlG); (8. irgendwas zum §19 ArbSChG und Urlaub für Jugendliche in JArbSchG ich weiß aber nicht was gemeint ist)"
Wo steht was zur Entgeltfortzahlung?;Im Entgeltfortzahlungsgesetz (EntgeltfortzahlungsG)
Hat ein Angestellter Anspruch auf Lohn, wenn er erkrankt ist? Wo steht etwas dazu? (Nenne Besonderheit und Paragraphen);"1. Ja; 2. Dies ist eine Durchbrechung des Grundsatzes ""Ohne Arbeit kein Lohn"" (§1 Entg.G); 3. Anspruch auf Entgelt bei Erkrankung (bis zu 6 Wochen) (§3 Entg.G)"
Welche Vorraussetzungen müssen erfüllt sein, damit eine Entgelt(Lohn)fortzahlung im Krankheitsfall gegeben ist?;"1. Krankheit / Unfall muss vorliegen; 2. Arbeiten darf nicht mögich sein; 3. es darf kein Verschulden (weder fahrlässig noch vorsätzlich) vorliegen (§3 Entg.G ""eventuell nur Abs.1 bin mir nicht sicher"")"
Welche Pflicht hat der Arbeitnehmer im Krankheitsfall (nenne auch den Paragraphen);"1. Krankheit unverzüglich anzeigen (mitteilen) = Anzeige und Nachweispflicht (§5 Entg.G); 2. Ein Attest vorlegen (spätestens am 3. Tag) (§5 Entg.G)"
Was ist Forderungsübergang im Zusammenhang mit Erkrankung des Arbeitnehmers;Unter gewissen Umständen kann der Arbeitgeber Schadensersatz gegenüber Dritten geltend machen (die ihm durch den Ausfall des Arbeitnehmers entstanden sind, für den er Lohn fortgezahlt hat). Genaueres in §6 EntgfortzahlungsG
Welches Gesetzt ist das AGG?;Allgemeines Gleichbehandlungsgesetz
Wo ist der Anwendungsbereich des Algemeinen Gleichbehandlungsgesezes definiert?;§§ 1 + 2 AGG
